date,mode_line,ridership,mode,DayOfWeek,TypeOfDay
2023-09-12,lrt ampang,162603,LRT,Tuesday,Weekday
2023-09-13,lrt ampang,164264,LRT,Wednesday,Weekday
2023-09-14,lrt ampang,161769,LRT,Thursday,Weekday
2023-09-15,lrt ampang,164722,LRT,Friday,Weekday
2023-09-16,lrt ampang,116146,LRT,Saturday,Weekend
2023-09-17,lrt ampang,96759,LRT,Sunday,Weekend
2023-09-18,lrt ampang,157074,LRT,Monday,Weekday
2023-09-19,lrt ampang,163811,LRT,Tuesday,Weekday
2023-09-20,lrt ampang,164254,LRT,Wednesday,Weekday
2023-09-21,lrt ampang,162734,LRT,Thursday,Weekday
2023-09-22,lrt ampang,163194,LRT,Friday,Weekday
2023-09-23,lrt ampang,110680,LRT,Saturday,Weekend
2023-09-24,lrt ampang,93123,LRT,Sunday,Weekend
2023-09-25,lrt ampang,158798,LRT,Monday,Weekday
2023-09-26,lrt ampang,163203,LRT,Tuesday,Weekday
2023-09-27,lrt ampang,168906,LRT,Wednesday,Weekday
2023-09-28,lrt ampang,99592,LRT,Thursday,Weekday
