date,mode_line,ridership,mode
12/4/2020,lrt ampang,6758,LRT
13/4/2020,lrt ampang,15916,LRT
14/4/2020,lrt ampang,15412,LRT
15/4/2020,lrt ampang,14931,LRT
16/4/2020,lrt ampang,14662,LRT
17/4/2020,lrt ampang,14683,LRT
18/4/2020,lrt ampang,8325,LRT
19/4/2020,lrt ampang,6801,LRT
20/4/2020,lrt ampang,15538,LRT
21/4/2020,lrt ampang,14961,LRT
22/4/2020,lrt ampang,14635,LRT
23/4/2020,lrt ampang,15360,LRT
24/4/2020,lrt ampang,14413,LRT
25/4/2020,lrt ampang,8429,LRT
26/4/2020,lrt ampang,7012,LRT
27/4/2020,lrt ampang,15923,LRT
28/4/2020,lrt ampang,15671,LRT
29/4/2020,lrt ampang,16596,LRT
30/4/2020,lrt ampang,16763,LRT
1/5/2020,lrt ampang,8492,LRT
2/5/2020,lrt ampang,10159,LRT
3/5/2020,lrt ampang,8418,LRT
4/5/2020,lrt ampang,39175,LRT
5/5/2020,lrt ampang,40157,LRT
6/5/2020,lrt ampang,42038,LRT
7/5/2020,lrt ampang,23228,LRT
8/5/2020,lrt ampang,42457,LRT
9/5/2020,lrt ampang,27820,LRT
10/5/2020,lrt ampang,21943,LRT
11/5/2020,lrt ampang,28026,LRT
12/5/2020,lrt ampang,48547,LRT
13/5/2020,lrt ampang,52390,LRT
14/5/2020,lrt ampang,54442,LRT
15/5/2020,lrt ampang,53010,LRT
16/5/2020,lrt ampang,32504,LRT
17/5/2020,lrt ampang,26405,LRT
18/5/2020,lrt ampang,57398,LRT
19/5/2020,lrt ampang,57100,LRT
20/5/2020,lrt ampang,58041,LRT
21/5/2020,lrt ampang,58193,LRT
22/5/2020,lrt ampang,56323,LRT
23/5/2020,lrt ampang,35883,LRT
24/5/2020,lrt ampang,23328,LRT
25/5/2020,lrt ampang,25645,LRT
26/5/2020,lrt ampang,28820,LRT
27/5/2020,lrt ampang,54785,LRT
28/5/2020,lrt ampang,58453,LRT
29/5/2020,lrt ampang,59467,LRT
30/5/2020,lrt ampang,40861,LRT
31/5/2020,lrt ampang,31986,LRT
1/6/2020,lrt ampang,70434,LRT
2/6/2020,lrt ampang,70009,LRT
3/6/2020,lrt ampang,71051,LRT
4/6/2020,lrt ampang,70016,LRT
5/6/2020,lrt ampang,71256,LRT
6/6/2020,lrt ampang,46361,LRT
7/6/2020,lrt ampang,36592,LRT
8/6/2020,lrt ampang,38078,LRT
9/6/2020,lrt ampang,78599,LRT
10/6/2020,lrt ampang,85911,LRT
11/6/2020,lrt ampang,86571,LRT
12/6/2020,lrt ampang,85854,LRT
13/6/2020,lrt ampang,55758,LRT
14/6/2020,lrt ampang,44432,LRT
15/6/2020,lrt ampang,91983,LRT
16/6/2020,lrt ampang,92978,LRT
17/6/2020,lrt ampang,93790,LRT
18/6/2020,lrt ampang,93709,LRT
19/6/2020,lrt ampang,92661,LRT
20/6/2020,lrt ampang,59646,LRT
21/6/2020,lrt ampang,48408,LRT
22/6/2020,lrt ampang,95602,LRT
23/6/2020,lrt ampang,96965,LRT
24/6/2020,lrt ampang,98252,LRT
25/6/2020,lrt ampang,99679,LRT
26/6/2020,lrt ampang,100834,LRT
27/6/2020,lrt ampang,64585,LRT
28/6/2020,lrt ampang,52782,LRT
29/6/2020,lrt ampang,101305,LRT
30/6/2020,lrt ampang,103419,LRT
1/7/2020,lrt ampang,108931,LRT
2/7/2020,lrt ampang,108173,LRT
3/7/2020,lrt ampang,111362,LRT
4/7/2020,lrt ampang,73060,LRT
5/7/2020,lrt ampang,60501,LRT
6/7/2020,lrt ampang,110965,LRT
7/7/2020,lrt ampang,112296,LRT
8/7/2020,lrt ampang,114968,LRT
9/7/2020,lrt ampang,113915,LRT
10/7/2020,lrt ampang,117243,LRT
11/7/2020,lrt ampang,75621,LRT
12/7/2020,lrt ampang,63671,LRT
13/7/2020,lrt ampang,114847,LRT
14/7/2020,lrt ampang,117030,LRT
15/7/2020,lrt ampang,120269,LRT
16/7/2020,lrt ampang,119408,LRT
17/7/2020,lrt ampang,124328,LRT
18/7/2020,lrt ampang,75319,LRT
19/7/2020,lrt ampang,63245,LRT
20/7/2020,lrt ampang,121196,LRT
21/7/2020,lrt ampang,121055,LRT
22/7/2020,lrt ampang,122706,LRT
23/7/2020,lrt ampang,122908,LRT
24/7/2020,lrt ampang,128049,LRT
25/7/2020,lrt ampang,77662,LRT
26/7/2020,lrt ampang,64106,LRT
27/7/2020,lrt ampang,122609,LRT
